amfi_code,cagr,sharpe,alpha,beta,max_drawdown,expense_ratio_pct,return_rank,sharpe_rank,alpha_rank,expense_rank,dd_rank,fund_score
100016,0.026352458116335464,-50.78230102503668,0.03747580763443281,-0.0582684314388089,-0.24734440880673303,1.55,37.0,35.0,39.0,32.0,34.0,99.10158949550795
100025,0.04455091155784441,-142.90788779761655,0.042817920315060876,0.0011582183155281463,-0.04308263824636349,0.56,36.0,39.0,38.0,2.0,4.0,79.75120939875605
100033,0.30099703552874524,275.612083370727,0.2719535450128533,0.0051035258305283104,-0.16217208574644848,1.38,7.0,7.0,6.0,17.0,20.0,26.537664132688327
101206,0.23520488754230384,258.85775862459315,0.21399784776051212,0.02108631625012803,-0.11291596329323073,1.6,12.0,9.0,12.0,36.5,9.0,40.428472702142365
101207,0.07933120999915699,40.99051386018987,0.10897091901704538,-0.06528924788351524,-0.3544691649336603,1.53,27.0,28.0,27.0,28.5,38.0,78.99101589495508
101208,0.06504429821332125,-205.5229767130243,0.060861457957871144,0.00026670968338238433,-0.0016224980244717857,0.79,32.0,40.0,33.0,11.0,3.0,77.81617138908086
102885,0.18218826089343754,205.90903301205807,0.17048756803412696,-0.019486785689474526,-0.1085986215250232,1.57,18.0,16.0,19.0,34.0,7.0,52.52246026261229
102886,0.0117093879842316,-51.869565179385184,0.028969397866379445,-0.04212502902189432,-0.2800112356639287,1.51,40.0,36.0,40.0,24.5,35.0,100.0
102887,0.16828673461948984,156.11843270091168,0.16211256794033255,0.016682689437770827,-0.21539827112383225,1.64,20.0,22.0,21.0,39.5,30.0,68.07187284035938
118632,0.2403119561352478,272.57811319511745,0.21829397904608644,-0.008353832126962021,-0.17414075086657232,1.51,11.0,8.0,11.0,24.5,23.0,37.249481686247414
118633,0.16262218000296524,162.59227444991703,0.15643835948169668,-0.03663900671860934,-0.18629743138595511,0.72,22.0,21.0,22.0,5.5,26.0,54.38838977194196
118634,0.16361396476593382,113.00537024506583,0.1750072167561127,0.1034966369133759,-0.2334488614483311,1.53,21.0,26.0,18.0,28.5,32.0,65.9986178299931
118635,0.15945481185082522,167.5439636343636,0.1513635464823924,-0.001433521389780133,-0.1165062450540909,0.89,23.0,19.0,23.0,13.0,10.0,53.07532826537664
118636,0.053131554027608274,-89.87063589362069,0.05074772999976104,0.0012566742731558458,-0.08316361763638702,0.55,35.0,38.0,35.0,1.0,6.0,76.71043538355218
119092,0.0636349475771898,7.757782440555658,0.0689952982167755,0.009730745001153637,-0.1440161790933726,1.64,33.0,31.0,30.0,39.5,15.0,85.90186592950934
119093,0.07891944369437343,32.66285348508671,0.08232801295222093,0.02588321244009315,-0.21751396370148224,0.75,28.0,29.0,28.0,8.0,31.0,70.62888735314445
119094,0.28192608222062465,251.55420868963765,0.2607666908004223,-0.06626542862803757,-0.20960883862039192,1.38,9.0,11.0,9.0,17.0,28.0,34.83068417415342
119095,0.015204552427132478,-19.14533993604688,0.048015953637759554,-0.066951174639292,-0.5167775370852656,1.38,39.0,33.0,37.0,17.0,39.0,93.43469246717349
119120,0.05885271270380055,-57.09699743023478,0.05620895216638369,-0.006413850728276477,-0.04328728923970093,0.77,34.0,37.0,34.0,9.0,5.0,77.67795438838978
119551,0.2578492084946409,304.4831749779248,0.23201007160635082,-0.03175144113890972,-0.1501238549864533,1.54,10.0,4.0,10.0,30.5,17.0,33.93227366966137
119552,0.21508021785499332,240.22643321023463,0.1986859936686296,-0.026159307513513405,-0.11803493502764295,0.66,15.0,12.0,15.0,4.0,11.0,33.72494816862474
119598,0.3239808398464554,238.21768089393362,0.3033696538698332,-0.023196062044059693,-0.2870600572176455,1.43,2.0,14.0,1.0,21.0,36.0,30.545957152729784
119599,0.02053064146209893,-14.41102970870135,0.048824215945539845,0.06200180438267168,-0.5257422117012851,0.72,38.0,32.0,36.0,5.5,40.0,86.86938493434693
120503,0.18771330105513617,201.08916036853174,0.17703302365844073,-0.0402689523698206,-0.13897862823061635,1.42,17.0,17.0,17.0,20.0,14.0,47.40843123704215
120504,0.2327744753273051,258.68411976942366,0.2119482701352573,0.016232169761417007,-0.12588275606922517,0.8,13.0,10.0,13.0,12.0,12.0,33.1720801658604
120505,0.3280159948038617,297.3855018104836,0.2926358334175106,0.000549004250631712,-0.18188513572116294,1.36,1.0,5.0,3.0,15.0,25.0,19.073946095369735
120506,0.17072227512921923,163.51745143228823,0.1625385327998104,0.04189646272811977,-0.1982565826298267,1.41,19.0,20.0,20.0,19.0,27.0,55.97788527988943
120507,0.0723241093234459,124.92229502423471,0.06746210411099539,-0.0004440926329707234,-0.0009773140045925555,0.74,29.0,23.0,31.0,7.0,1.0,60.26261230131307
120841,0.13522349085511554,124.55667954254322,0.13042924450705445,0.036356399022199795,-0.1757361416468729,1.59,24.0,24.0,25.0,35.0,24.0,71.45818935729096
120842,0.06696806255006482,19.151961707740483,0.0780443887615508,0.01805687420811816,-0.24003511326274884,1.56,31.0,30.0,29.0,33.0,33.0,85.27988942639945
120843,0.30883325525154603,329.2994803247959,0.27330465038306057,-0.02282956979242654,-0.1297396816518679,1.45,6.0,2.0,5.0,22.0,13.0,21.838286109191433
120844,0.0691037983940288,-22.364318646324367,0.06455677495375998,-0.00040074423947840013,-0.0011629327956168556,0.6,30.0,34.0,32.0,3.0,2.0,67.86454733932274
125497,0.19003613208378556,195.4991429549224,0.17729754927531766,0.04882040425957739,-0.15200013055606398,0.92,16.0,18.0,16.0,14.0,18.0,45.335176226675884
125498,0.11293660210400969,75.75420410272206,0.11989100971217971,0.009054412621739154,-0.21117279560132118,0.78,26.0,27.0,26.0,10.0,29.0,66.75881133379406
148567,0.30949920362874206,364.96937492221747,0.2698375144191807,0.023683558075848623,-0.11265729075028275,1.46,5.0,1.0,7.0,23.0,8.0,20.456116102280582
148568,0.22499840384352243,233.42441137747568,0.20873010086942337,-0.026387719943843004,-0.1527259422823477,1.52,14.0,15.0,14.0,26.5,19.0,45.95715272978577
148569,0.31924485848158723,311.20236649513106,0.2827036785246582,0.018133884083859245,-0.1639674294693263,1.6,4.0,3.0,4.0,36.5,21.0,28.541810642709052
149322,0.13383520958789363,116.9374372035604,0.13173190226099432,-0.004050271130006534,-0.14844576917771746,1.54,25.0,25.0,24.0,30.5,16.0,68.34830684174155
149323,0.29558105232568344,285.2947068236306,0.26598577542043045,-0.002523004664699247,-0.17248105753451382,1.61,8.0,6.0,8.0,38.0,22.0,37.04215618521078
149324,0.3226210752841656,239.34854781472396,0.3005787817097677,0.011455159960520708,-0.31171900300634214,1.52,3.0,13.0,2.0,26.5,37.0,33.79405666897029
